add_or_remove, relation, parent, child, weight
1,edge,C0a,C0,0.3934
1,edge,C0a,C1,0.6311
1,edge,C0a,C2,0.689
1,edge,C0a,C3,0.0663
1,edge,C0a,C4,0.4242
1,edge,C0a,C5,0.8376
1,edge,C0a,C6,0.7961
1,edge,C0a,C7,0.6634
1,edge,C0a,C8,0.4969
1,edge,C0a,C9,0.7808
1,edge,C0a,C10,0.5866
1,edge,C0a,C11,0.9558
1,edge,C0a,C12,0.3578
1,edge,C0a,C13,0.8268
1,edge,C0a,C14,0.2281
1,edge,C0a,C15,0.4617
1,edge,C0a,C16,0.2289
1,edge,C0a,C17,0.1553
1,edge,C0a,C18,0.4104
1,edge,C0a,C19,0.8725
1,edge,C0a,C20,0.9861
1,edge,C0a,C21,0.2407
1,edge,C0a,C22,0.5081
1,edge,C0a,C23,0.1618
1,edge,C0a,C24,0.1208
1,edge,C0a,C25,0.5409
1,edge,C0a,C26,0.7735
1,edge,C0a,C27,0.9171
1,edge,C0a,C28,0.1649
1,edge,C0a,C29,0.5796
1,edge,C0a,C30,0.7113
1,edge,C0a,C31,0.518
1,edge,C0a,C32,0.335
1,edge,C0a,C33,0.9052
1,edge,C0a,C34,0.7815
1,edge,C0a,C35,0.7253
1,edge,C0a,C36,0.8541
1,edge,C0a,C37,0.4267
1,edge,C0a,C38,0.102
1,edge,C0a,C39,0.8989
1,edge,C0a,C40,0.023
1,edge,C0a,C41,0.1528
1,edge,C0a,C42,0.6534
1,edge,C0a,C43,0.0018
1,edge,C0a,C44,0.8086
1,edge,C0a,C45,0.5458
1,edge,C0a,C46,0.3996
1,edge,C0a,C47,0.5328
1,edge,C0a,C48,0.1031
1,edge,C0a,C49,0.313
1,edge,C0a,C50,0.9298
1,edge,C0a,C51,0.3632
1,edge,C0a,C52,0.3909
1,edge,C0a,C53,0.2334
1,edge,C0a,C54,0.8896
1,edge,C0a,C55,0.7339
1,edge,C0a,C56,0.1494
1,edge,C0a,C57,0.1318
1,edge,C0a,C58,0.5243
1,edge,C0a,C59,0.8322
1,edge,C0a,C60,0.8016
1,edge,C0a,C61,0.1786
1,edge,C0a,C62,0.4938
1,edge,C0a,C63,0.9031
1,edge,C0a,C64,0.4769
1,edge,C0a,C65,0.2044
1,edge,C0a,C66,0.8969
1,edge,C0a,C67,0.5451
1,edge,C0a,C68,0.8852
1,edge,C0a,C69,0.3329
1,edge,C0a,C70,0.9882
1,edge,C0a,C71,0.8965
1,edge,C0a,C72,0.9627
1,edge,C0a,C73,0.4712
1,edge,C0a,C74,0.729
1,edge,C0a,C75,0.1501
1,edge,C0a,C76,0.9769
1,edge,C0a,C77,0.6306
1,edge,C0a,C78,0.5194
1,edge,C0a,C79,0.9431
1,edge,C0a,C80,0.3966
1,edge,C0a,C81,0.4756
1,edge,C0a,C82,0.3012
1,edge,C0a,C83,0.3102
1,edge,C0a,C84,0.3059
1,edge,C0a,C85,0.054
1,edge,C0a,C86,0.426
1,edge,C0a,C87,0.7807
1,edge,C0a,C88,0.1131
1,edge,C0a,C89,0.1471
1,edge,C0a,C90,0.2133
1,edge,C0a,C91,0.245
1,edge,C0a,C92,0.0633
1,edge,C0a,C93,0.1314
1,edge,C0a,C94,0.8857
1,edge,C0a,C95,0.641
1,edge,C0a,C96,0.8594
1,edge,C0a,C97,0.4515
1,edge,C0a,C98,0.8549
1,edge,C0a,C99,0.3858
1,edge,C0a,C100,0.3525
1,edge,C0a,C101,0.9663
1,edge,C0a,C102,0.6871
1,edge,C0a,C103,0.9497
1,edge,C0a,C104,0.4509
1,edge,C0a,C105,0.7382
1,edge,C0a,C106,0.8071
1,edge,C0a,C107,0.5855
1,edge,C0a,C108,0.1349
1,edge,C0a,C109,0.5313
1,edge,C0a,C110,0.1889
1,edge,C0a,C111,0.7969
1,edge,C0a,C112,0.9618
1,edge,C0a,C113,0.5493
1,edge,C0a,C114,0.3119
1,edge,C0a,C115,0.3981
1,edge,C0a,C116,0.0265
1,edge,C0a,C117,0.444
1,edge,C0a,C118,0.1919
1,edge,C0a,C119,0.3612
1,edge,C0a,C120,0.6095
1,edge,C0a,C121,0.2793
1,edge,C0a,C122,0.5448
1,edge,C0a,C123,0.6981
1,edge,C0a,C124,0.1018
1,edge,C0a,C125,0.1648
